timestamp;actual_w;actual_calc_wh;actual_wh
0;302;0;0
20;302;1.677777778;1.999999999
40;307;3.355555556;3.999999999
60;307;5.061111111;4.999999999
80;301;6.766666667;7
100;300;8.438888889;9
120;306;10.10555556;11
140;306;11.80555556;13
160;306;13.50555556;14
180;449;15.20555556;16
200;455;17.7;19
220;327;20.22777778;20
240;320;22.04444444;23
260;319;23.82222222;25
280;512;25.59444444;27
300;534;28.43888889;30
320;511;31.40555556;32
340;524;34.24444444;34
360;510;37.15555556;37
380;2213;39.98888889;43
400;2214;52.28333333;56
420;2209;64.58333333;68
440;2331;76.85555556;81
460;2353;89.80555556;93
480;2349;102.8777778;106
500;2332;115.9277778;118
520;2349;128.8833333;131
540;2243;141.9333333;146
560;2241;154.3944444;158
580;2250;166.8444444;170
600;2299;179.3444444;182
620;2300;192.1166667;195
640;2343;204.8944444;207
660;2349;217.9111111;219
680;2350;230.9611111;232
700;2328;244.0166667;245
720;2271;256.95;257
740;2304;269.5666667;269
760;2302;282.3666667;282
780;2356;295.1555556;294
800;2299;308.2444444;307
820;2319;321.0166667;319
840;2246;333.9;332
860;2260;346.3777778;344
880;2238;358.9333333;356
900;2204;371.3666667;368
920;2215;383.6111111;380
940;2250;395.9166667;392
960;2249;408.4166667;404
980;2216;420.9111111;415
1000;2246;433.2222222;428
1020;2225;445.7;440
1040;2269;458.0611111;452
1060;2032;470.6666667;465
1080;2031;481.9555556;477
1100;2226;493.2388889;489
1120;2241;505.6055556;501
1140;2251;518.0555556;514
1160;2216;530.5611111;526
1180;2246;542.8722222;538
1200;2239;555.35;550
1220;2234;567.7888889;562
1240;2249;580.2;575
1260;2225;592.6944444;587
1280;1977;605.0555556;598
1300;1974;616.0388889;610
1320;2156;627.0055556;622
1340;2193;638.9833333;634
1360;2162;651.1666667;646
1380;2184;663.1777778;658
1400;2168;675.3111111;670
1420;2220;687.3555556;682
1440;2210;699.6888889;694
1460;2221;711.9666667;706
1480;2267;724.3055556;718
1500;2003;736.9;730
1520;2004;748.0277778;742
1540;2236;759.1611111;754
1560;2226;771.5833333;767
1580;2219;783.95;779
1600;2235;796.2777778;791
1620;2192;808.6944444;803
1640;2239;820.8722222;815
1660;2213;833.3111111;827
1680;2327;845.6055556;839
1700;2325;858.5333333;852
1720;2098;871.45;865
1740;2100;883.1055556;877
1760;2315;894.7722222;890
1780;2339;907.6333333;903
1800;2306;920.6277778;915
1820;2329;933.4388889;928
1840;2330;946.3777778;941
1860;2347;959.3222222;953
1880;2304;972.3611111;966
1900;2307;985.1611111;979
1920;2156;997.9777778;991
1940;2020;1009.955556;1003
1960;2020;1021.177778;1015
1980;2217;1032.4;1027
2000;2237;1044.716667;1040
2020;2203;1057.144444;1052
2040;2236;1069.383333;1064
2060;2218;1081.805556;1076
2080;2158;1094.127778;1088
2100;2195;1106.116667;1099
2120;2189;1118.311111;1111
2140;2192;1130.472222;1122
2160;2198;1142.65;1134
2180;2179;1154.861111;1145
2200;2213;1166.966667;1160
2220;2202;1179.261111;1172
2240;2221;1191.494444;1183
2260;2188;1203.833333;1195
2280;2188;1215.988889;1206
2300;2183;1228.144444;1218
2320;2192;1240.272222;1229
2340;2220;1252.45;1241
2360;2201;1264.783333;1253
2380;2177;1277.011111;1264
2400;2210;1289.105556;1276
2420;2158;1301.383333;1287
2440;2233;1313.372222;1299
2460;2213;1325.777778;1310
2480;2216;1338.072222;1322
2500;2197;1350.383333;1333
2520;2218;1362.588889;1345
2540;347;1374.911111;1349
2560;346;1376.838889;1351
2580;311;1378.761111;1352
2600;359;1380.488889;1353
2620;318;1382.483333;1354
2640;352;1384.25;1355
2660;352;1386.205556;1356
2680;363;1388.161111;1357
2700;341;1390.177778;1358
2720;337;1392.072222;1359
2740;422;1393.944444;1361
2760;400;1396.288889;1363
2780;411;1398.511111;1364
2800;430;1400.794444;1366
2820;414;1403.183333;1367
2840;425;1405.483333;1369
2860;421;1407.844444;1370
2880;422;1410.183333;1372
2900;412;1412.527778;1373
2920;427;1414.816667;1375
2940;415;1417.188889;1377
2960;440;1419.494444;1378
2980;365;1421.938889;1380
3000;287;1423.966667;1381
3020;337;1425.561111;1382
3040;347;1427.433333;1383
3060;318;1429.361111;1384
3080;358;1431.127778;1385
3100;367;1433.116667;1386
3120;344;1435.155556;1387
3140;360;1437.066667;1388
3160;353;1439.066667;1389
3180;336;1441.027778;1391
3200;354;1442.894444;1392
3220;321;1444.861111;1393
3240;355;1446.644444;1394
3260;340;1448.616667;1395
3280;325;1450.505556;1396
3300;344;1452.311111;1397
3320;359;1454.222222;1398
3340;336;1456.216667;1399
3360;355;1458.083333;1401
3380;339;1460.055556;1402
3400;342;1461.938889;1403
3420;308;1463.838889;1404
3440;349;1465.55;1405
3460;321;1467.488889;1406
3480;354;1469.272222;1407
3500;333;1471.238889;1408
3520;327;1473.088889;1409
3540;331;1474.905556;1411
3560;327;1476.744444;1412
3580;336;1478.561111;1413
3600;365;1480.427778;1414
3620;326;1482.455556;1415
3640;359;1484.266667;1416
3660;328;1486.261111;1417
3680;366;1488.083333;1418
3700;395;1490.116667;1420
3720;406;1492.311111;1421
3740;417;1494.566667;1423
3760;385;1496.883333;1424
3780;381;1499.022222;1425
3800;395;1501.138889;1427
3820;465;1503.333333;1429
3840;491;1505.916667;1431
3860;456;1508.644444;1432
3880;470;1511.177778;1435
3900;484;1513.788889;1440
3920;466;1516.477778;1442
3940;474;1519.066667;1444
3960;488;1521.7;1446
3980;280;1524.411111;1447
4000;278;1525.966667;1449
4020;268;1527.511111;1450
4040;308;1529;1452
4060;188;1530.711111;1454
4080;334;1531.755556;1455
4100;226;1533.611111;1457
4120;188;1534.866667;1458
4140;305;1535.911111;1459
4160;303;1537.605556;1460
4180;203;1539.288889;1461
4200;299;1540.416667;1463
4220;274;1542.077778;1464
4240;190;1543.6;1466
4260;208;1544.655556;1467
4280;259;1545.811111;1468
4300;261;1547.25;1470
4320;380;1548.7;1471
4340;329;1550.811111;1473
4360;341;1552.638889;1475
4380;396;1554.533333;1478
4400;398;1556.733333;1480
4420;397;1558.944444;1482
4440;392;1561.15;1484
4460;391;1563.327778;1486
4480;387;1565.5;1489
4500;208;1567.65;1490
4520;214;1568.805556;1492
4540;216;1569.994444;1493
4560;190;1571.194444;1494
4580;191;1572.25;1495
4600;190;1573.311111;1496
4620;182;1574.366667;1497
4640;175;1575.377778;1498
4660;346;1576.35;1500
4680;348;1578.272222;1501
4700;174;1580.205556;1502
4720;386;1581.172222;1504
4740;382;1583.316667;1506
4760;175;1585.438889;1507
4780;176;1586.411111;1509
4800;389;1587.388889;1510
4820;377;1589.55;1512
4840;175;1591.644444;1514
4860;175;1592.616667;1515
4880;478;1593.588889;1517
4900;254;1596.244444;1519
4920;274;1597.655556;1520
4940;266;1599.177778;1522
4960;438;1600.655556;1524
4980;319;1603.088889;1526
5000;294;1604.861111;1527
5020;332;1606.494444;1529
5040;228;1608.338889;1531
5060;218;1609.605556;1532
5080;211;1610.816667;1534
5100;221;1611.988889;1535
5120;195;1613.216667;1536
5140;194;1614.3;1538
5160;219;1615.377778;1539
5180;129;1616.594444;1540
5200;180;1617.311111;1540
5220;242;1618.311111;1542
5240;211;1619.655556;1543
5260;407;1620.827778;1545
5280;315;1623.088889;1546
5300;520;1624.838889;1549
5320;370;1627.727778;1551
5340;370;1629.783333;1553
5360;368;1631.838889;1555
5380;370;1633.883333;1557
5400;367;1635.938889;1559
5420;367;1637.977778;1561
5440;129;1640.016667;1562
5460;129;1640.733333;1562
5480;165;1641.45;1563
5500;184;1642.366667;1564
5520;199;1643.388889;1565
5540;229;1644.494444;1566
5560;287;1645.766667;1566
5580;287;1647.361111;1568
5600;125;1648.955556;1569
5620;347;1649.65;1570
5640;312;1651.577778;1575
5660;264;1653.311111;1577
5680;118;1654.777778;1578
5700;319;1655.433333;1579
5720;135;1657.205556;1580
5740;294;1657.955556;1582
5760;335;1659.588889;1583
5780;347;1661.45;1584
5800;119;1663.377778;1586
5820;136;1664.038889;1587
5840;139;1664.794444;1588
5860;119;1665.566667;1588
5880;170;1666.227778;1590
5900;119;1667.172222;1591
5920;129;1667.833333;1591
5940;352;1668.55;1593
5960;223;1670.505556;1594
5980;216;1671.744444;1596
6000;338;1672.944444;1597
6020;257;1674.822222;1598
6040;235;1676.25;1600
6060;345;1677.555556;1601
6080;317;1679.472222;1603
6100;210;1681.233333;1604
6120;202;1682.4;1606
6140;209;1683.522222;1607
6160;198;1684.683333;1608
6180;145;1685.783333;1609
6200;127;1686.588889;1610
6220;211;1687.294444;1611
6240;149;1688.466667;1612
6260;127;1689.294444;1613
6280;157;1690;1613
6300;175;1690.872222;1614
6320;234;1691.844444;1615
6340;206;1693.144444;1617
6360;397;1694.288889;1618
6380;296;1696.494444;1620
6400;515;1698.138889;1622
6420;359;1701;1624
6440;366;1702.994444;1626
6460;371;1705.027778;1628
6480;372;1707.088889;1630
6500;372;1709.155556;1632
6520;369;1711.222222;1634
6540;129;1713.272222;1635
6560;128;1713.988889;1636
6580;154;1714.7;1637
6600;168;1715.555556;1637
6620;158;1716.488889;1638
6640;162;1717.366667;1639
6660;173;1718.266667;1640
6680;200;1719.227778;1640
6700;214;1720.338889;1641
6720;128;1721.527778;1642
6740;278;1722.238889;1643
